심볼,시간,매매방향,가격,수량,실현손익,수수료,포지션
XRPUSDT,2025-02-23 02:44:24,SELL,2.6000,300.0,5.43999999,0.00021166,BOTH
ETHUSDT,2025-02-23 01:11:33,BUY,2779.80,0.15,-6.8496,0.00011391,BOTH
ETHUSDT,2025-02-23 01:04:00,SELL,2793.09,0.15,0.0,0.00028596,BOTH
ETHUSDT,2025-02-23 00:52:00,SELL,2757.81,0.05,0.0,9.426e-05,BOTH
ETHUSDT,2025-02-22 23:22:01,SELL,2739.83,0.05,0.0,9.392999999999999e-05,BOTH
ETHUSDT,2025-02-22 19:08:01,SELL,2727.79,0.05,0.0,9.327e-05,BOTH
ETHUSDT,2025-02-22 18:07:00,SELL,2702.40,0.1,0.0,0.00018466,BOTH
XRPUSDT,2025-02-22 12:26:47,BUY,2.5697,300.0,0.0,0.0005333800000000001,BOTH
ETHUSDT,2025-02-22 11:42:00,SELL,2682.37,0.05,0.0,9.275e-05,BOTH
BTCUSDT,2025-02-22 11:36:00,SELL,96296.80,0.01,0.0,0.00066626,BOTH
ETHUSDT,2025-02-22 08:22:01,SELL,2649.49,0.05,0.0,9.232e-05,BOTH
ETHUSDT,2025-02-22 07:34:44,BUY,2638.47,0.05,0.5895,3.677e-05,BOTH
BTCUSDT,2025-02-22 07:28:00,SELL,95785.70,0.01,0.0,0.00066672,BOTH
ETHUSDT,2025-02-22 07:24:00,SELL,2650.26,0.05,0.0,9.245999999999999e-05,BOTH
ETHUSDT,2025-02-22 05:34:01,SELL,2658.84,0.15,1.76626,0.00011154,BOTH
BTCUSDT,2025-02-22 04:43:00,BUY,95364.50,0.005,14.65598196,0.00033782,BOTH
ETHUSDT,2025-02-22 04:27:03,BUY,2640.93,0.1,0.0,0.00018601,BOTH
BTCUSDT,2025-02-22 04:27:00,BUY,95825.30,0.005,12.35198196,0.00033746,BOTH
ETHUSDT,2025-02-22 04:18:00,BUY,2659.38,0.012,0.0,2.232e-05,BOTH
ETHUSDT,2025-02-22 04:18:00,BUY,2659.35,0.008,0.0,1.488e-05,BOTH
ETHUSDT,2025-02-22 04:18:00,BUY,2659.32,0.008,0.0,1.488e-05,BOTH
ETHUSDT,2025-02-22 04:18:00,BUY,2659.31,0.022,0.0,4.093e-05,BOTH
BTCUSDT,2025-02-22 04:01:00,BUY,96360.10,0.005,9.67798196,0.0003352,BOTH
BTCUSDT,2025-02-22 02:46:00,BUY,96888.50,0.005,7.03598196,0.00033831,BOTH
ETHUSDT,2025-02-22 02:41:05,SELL,2675.05,0.15,1.7775,0.00011203,BOTH
ETHUSDT,2025-02-22 02:40:01,BUY,2654.01,0.1,0.0,0.00018525,BOTH
BTCUSDT,2025-02-22 02:38:06,BUY,97320.60,0.018,17.55173508,0.00121897,BOTH
BTCUSDT,2025-02-22 02:37:00,BUY,97393,0.005,4.51348196,0.00033856,BOTH
ETHUSDT,2025-02-22 02:34:00,BUY,2681.58,0.05,0.0,9.294e-05,BOTH
XRPUSDT,2025-02-22 02:33:47,BUY,2.5886,200.0,0.0,0.00035881,BOTH
XRPUSDT,2025-02-22 02:23:00,BUY,2.6049,100.0,0.0,0.00017976,BOTH
XRPUSDT,2025-02-22 02:11:53,SELL,2.6180,650.0,15.08882005,0.00046872,BOTH
XRPUSDT,2025-02-22 01:24:07,SELL,2.6307,650.0,23.34382003,0.0011631,BOTH
BTCUSDT,2025-02-22 01:22:59,SELL,98711,0.005,0.0,0.0001342,BOTH
XRPUSDT,2025-02-22 00:53:26,SELL,2.6200,1300.0,32.77764011,0.00093319,BOTH
XRPUSDT,2025-02-22 00:48:46,SELL,2.6072,44.199999999999996,0.54867975,7.915e-05,BOTH
XRPUSDT,2025-02-22 00:46:11,BUY,2.6033,1500.0,0.0,0.00268505,BOTH
XRPUSDT,2025-02-22 00:45:57,BUY,2.5968,500.0,0.0,0.00089319,BOTH
XRPUSDT,2025-02-22 00:44:16,BUY,2.5734,700.0000000000001,5.89542008,0.0004988,BOTH
ETHUSDT,2025-02-22 00:44:16,SELL,2703.19,0.15,1.797,0.00011228,BOTH
ETHUSDT,2025-02-22 00:44:01,BUY,2691.21,0.15,0.0,0.00027937,BOTH
XRPUSDT,2025-02-22 00:40:12,BUY,2.6035,150.0,11.33290343,0.0002695,BOTH
SOLUSDT,2025-02-22 00:37:03,BUY,173.5900,2.0,0.0,0.00023896,BOTH
XRPUSDT,2025-02-22 00:29:03,BUY,2.6448,125.8,4.30898836,9.086e-05,BOTH
XRPUSDT,2025-02-22 00:29:02,BUY,2.6448,374.2,12.81735646,0.00067571,BOTH
SOLUSDT,2025-02-22 00:26:55,BUY,175.2100,2.0,0.0,0.00023878,BOTH
ETHUSDT,2025-02-22 00:26:03,BUY,2760,0.26,5.44324444,0.00019586,BOTH
ETHUSDT,2025-02-22 00:25:03,BUY,2787.48,0.04,-0.26177777,7.575e-05,BOTH
BTCUSDT,2025-02-22 00:25:00,BUY,98217.30,0.005,0.11875591,0.00033368,BOTH
XRPUSDT,2025-02-22 00:19:33,SELL,2.6965,40.0,0.0,2.911e-05,BOTH
